text,language,sentiment,confidence,topic_id,topic_label,region,country,language_name,date,likes
hmmm allah dai yakyauta ya karemudaga dikkan abindai zaisamu nadamar rayiwa allah ka yayemuna wannan qunci da mukeciki a sakamakon lefukanmu,hau,positive,0.6832504272460938,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-03-24,120
to sarakan muna furci bakwa taba fadar alkairin mutun sai sharrin sa idan xaice yace uwar ku ko kuwa,hau,negative,0.9305713772773743,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-02-08,167
shawarata ga baba shine dan allah a duba talakan nigeria musamman yan arewa wallahi ana cikin mawuyacin hali yanzu sai kaga magidanci ya koma almajiri sbd kawai bashi da abin yi km ga iyaliyara kanana suna bin gidaje suna barar abin da zasu saka a bakinsu,hau,negative,0.8960492610931396,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-12,440
nuhu abdullahi shiya dace da ita arayina nagode,hau,positive,0.521049439907074,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-06-16,163
in allah y yanka ma kazar wahala ai saika figeta,hau,negative,0.8891680836677551,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-01-13,235
wannan attach haka kmr bakya sallah kodae kina abinne,hau,negative,0.7409496307373047,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-01-19,185
adam mayen mata aure xaka kara,hau,negative,0.4188033640384674,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-07-30,401
to ita ce kalmar akafi amfani da ita misali to yane to ya kake to y lbr to ai hikkenann,hau,negative,0.641258716583252,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-05-18,400
afuwan meye kutse,hau,neutral,0.7970395088195801,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-25,305
rahama follow back ban son wayo,hau,negative,0.5843279957771301,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-04,40
qurunqus toh mutum kuma ko shedan ne shi yanzu ai dole ya hakura koh,hau,negative,0.9292427897453308,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-05-30,262
idan hakane kuwa allah yasawa baba da alkhairi,hau,negative,0.586348831653595,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-01-15,101
wannan reply din naka yayi,hau,negative,0.8126407861709595,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-08-21,200
inama ace garin mu ne,hau,negative,0.8347826600074768,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-10,385
happy sallah allah ya maimaita mana da rai da lfy,hau,positive,0.9569244980812073,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-02-24,81
ya allah duk wanda ya takura mana allah ka takura masa,hau,positive,0.9057560563087463,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-01-10,126
sai kuma yaya sai dai kallo alaji sai baba,hau,negative,0.6198207139968872,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-23,208
allah ya kara miki lafia yija zamaninki da nisan kwana,hau,positive,0.7721875905990601,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-04-22,33
allah cigaba da tsareshi,hau,positive,0.8163554072380066,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-04-18,332
allah ya jikan sa da rahama allah yasa aljannah ce makomar sa allah ya jadaddah rahama allah gareshi muma idan tamu tazo allah yasa mu cika da kyau imani albarkacin annabi muhammad saw,hau,positive,0.8289628028869629,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-01-18,17
wlh is a man of truth intergrity and honest ppl of kano loose amma allah yasa haka shi yafi alkhairi,hau,negative,0.5599956512451172,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-03-03,246
u look so gorgeous rahama,hau,positive,0.9335302710533142,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-01-24,282
shin da gaske sarkin musilmine kuwa koh dai sarkin,hau,negative,0.6722185611724854,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-22,278
kiso mai sonki,hau,positive,0.6648800373077393,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-04-19,166
ba fada da mlm baashe har an fara buga wasan,hau,neutral,0.7084092497825623,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-16,82
wallahi idan ba kuyi wasa ba da bakaken tutoci biu ️ zaku tashi a hannayen ku daya ta zamulci daya kuwa ta yaudara,hau,negative,0.59939044713974,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-07-31,218
muna ansar wuta a gun su buhari,hau,negative,0.8804687857627869,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-05-25,452
aameenallah y kara fasaha mai gd,hau,positive,0.8213648200035095,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-02-01,53
yadai ba obasanjo rikun kwarya na sati hudu in yakasa sai yaba atiku sai agani shin ko laifi naina,hau,negative,0.8998904824256897,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-02-27,36
shima shugaban kasar a bamu hayarshi,hau,negative,0.7525168061256409,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-06-11,135
rahama sadau turn to indian girl,hau,positive,0.6581581830978394,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-06-10,319
hahahahhaha gskia muna goyan bayan hakan,hau,negative,0.6428120732307434,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-05-30,43
a amshi dubu gudar ku kuma ah kulle ku kaico wata miyar sai a maqota,hau,negative,0.838935375213623,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-16,106
allah kai mana maganin wannan taaddanciameen,hau,negative,0.49941888451576233,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-05-28,49
ki yi mu kyau,hau,positive,0.9202661514282227,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-30,215
waimu a chuta zamu kare ne sekace kajin gidan gona,hau,neutral,0.8509138226509094,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-12,255
